Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Nederlandse Defensie Academie,MastbosBredaroute,waypoint,MON,5,63,43.0,63.0,"[u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://www.wikidata.org/entity/Q1826903', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://wikidata.dbpedia.org/resource/Q1826903', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://wikidata.dbpedia.org/resource/Q15863107', u'http://www.wikidata.org/entity/Q15863107', u'http://lodlaundromat.org/.well-known/genid/3c38f5c76eac252d972c5404ed94f5a1#HT016442969BNode0', u'http://d-nb.info/gnd/6528092-1', u'http://lobid.org/resource/HT016442969', u'http://id.loc.gov/authorities/names/n2009000257']"
Kasteel van Breda,MastbosBredaroute,waypoint,MON,7,141,95.0,100.0,"[u'http://nl.dbpedia.org/resource/Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://wikidata.dbpedia.org/resource/Q1918354', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://www.wikidata.org/entity/Q1918354', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://nl.dbpedia.org/resource/Hofkapel_bij_het_Kasteel_van_Breda', u'http://www.wikidata.org/entity/Q2324807', u'http://nl.dbpedia.org/resource/Hofkapel_bij_het_Kasteel_van_Breda', u'http://wikidata.dbpedia.org/resource/Q2324807', u'http://dbpedia.org/resource/Breda_Castle', u'http://es.dbpedia.org/resource/Castillo_de_Breda', u'http://sws.geonames.org/6950705/']"
Hirdesbrug,MastbosBredaroute,waypoint,MON,1,15,10.0,15.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://wikidata.dbpedia.org/resource/Q17595550', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://www.wikidata.org/entity/Q17595550', u'http://www.wikidata.org/entity/Q17595550', u'http://wikidata.dbpedia.org/resource/Q17595550', u'http://data.cultureelerfgoed.nl/id/9EE79358-3206-43D8-93A1-E6186B8A4753', u'http://data.cultureelerfgoed.nl/id/9EE79358-3206-43D8-93A1-E6186B8A4753', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000628']"
Het Mastbos,MastbosBredaroute,waypoint,MON,4,49,45.0,49.0,"[u'http://sws.geonames.org/2751107/', u'http://sws.geonames.org/2751107/', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Frans_Vermeeren', u'http://nl.dbpedia.org/resource/Frans_Vermeeren', u'http://nl.dbpedia.org/resource/Jac_Vermeeren', u'http://nl.dbpedia.org/resource/Frans_Vermeeren', u'http://nl.dbpedia.org/resource/Frans_Vermeeren', u'http://nl.dbpedia.org/resource/Jac_Vermeeren', u'http://nl.dbpedia.org/resource/Medisch_Centrum_de_Klokkenberg', u'http://nl.dbpedia.org/resource/Bert_Vermeeren', u'http://nl.dbpedia.org/resource/Jac_Vermeeren', u'http://nl.dbpedia.org/resource/Bert_Vermeeren']"
Nassauverleden,MastbosBredaroute,waypoint,TIME,2,0,0.0,0.0,[]
Kasteel Bouvigne,MastbosBredaroute,waypoint,MON,4,58,42.0,58.0,"[u'http://nl.dbpedia.org/resource/Kasteel_Bouvigne', u'http://www.wikidata.org/entity/Q2360734', u'http://nl.dbpedia.org/resource/Kasteel_Bouvigne', u'http://wikidata.dbpedia.org/resource/Q2360734', u'http://geowordnet.semanticmatching.org/3.0/wordsense-Kasteel_Bouvigne-noun-1', u'http://geowordnet.semanticmatching.org/3.0/synset-Kasteel_Bouvigne-noun-1', u'http://sws.geonames.org/2758511/', u'http://geowordnet.semanticmatching.org/3.0/word-Kasteel_Bouvigne', u'http://geowordnet.semanticmatching.org/3.0/synset-Kasteel_Bouvigne-noun-1', u'http://sws.geonames.org/2758511/', u'http://sws.geonames.org/2758511/', u'http://lobid.org/resource/HT014224858', u'http://blog.seniorennet.nl/kastelen2008/archief.php?ID=12170', u'http://blog.seniorennet.nl/kastelen2008/archief.php?ID=12170', u'http://lobid.org/resource/HT014224858', u'http://lobid.org/resource/HT006415223', u'http://lobid.org/resource/HT014224858', u'http://nl.dbpedia.org/resource/Markdal', u""http://nl.dbpedia.org/resource/Art_&_Antiques_Fair_'s-Hertogenbosch"", u'http://nl.dbpedia.org/resource/Duitse_tuin']"
Ginneken,MastbosBredaroute,waypoint,AREA,4,1629,82.0,100.0,"[u'http://nl.dbpedia.org/resource/Ginneken', u'http://wikidata.dbpedia.org/resource/Q2625523', u'http://wikidata.dbpedia.org/resource/Q1525055', u'http://wikidata.dbpedia.org/resource/Q4573756', u'http://nl.dbpedia.org/resource/Ginneken', u'http://www.wikidata.org/entity/Q2728248', u'http://www.wikidata.org/entity/Q2625523', u'http://www.wikidata.org/entity/Q1525055', u'http://www.wikidata.org/entity/Q2617503', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://wikidata.dbpedia.org/resource/Q2728248', u'http://standaarden.overheid.nl/owms/terms/Ginneken', u'http://nl.dbpedia.org/resource/Rijksbeschermd_gezicht_Ginneken', u'http://nl.dbpedia.org/resource/Joan_Hugo_van_Bolhuis', u'http://www.wikidata.org/entity/Q1896626', u'http://standaarden.overheid.nl/owms/terms/Ginneken', u'http://standaarden.overheid.nl/owms/terms/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken']"
Grote of Onze Lieve Vrouwekerk,MastbosBredaroute,waypoint,MON,20,307,93.0,100.0,"[u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Dordrecht)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Breda)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)__Tholen__16', u'http://nl.dbpedia.org/resource/Grote_Kerk_(Veere)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__201', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://wikidata.dbpedia.org/resource/Q2024749', u'http://wikidata.dbpedia.org/resource/Q1431827', u'http://wikidata.dbpedia.org/resource/Q17443185', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)__Tholen__16', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Dordrecht)', u'http://www.wikidata.org/entity/Q2360900', u'http://nl.dbpedia.org/resource/Grote_Kerk_(Veere)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Breda)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Breda)']"
station Breda,MastbosBredaroute,in text,LOC,28,137,85.0,100.0,"[u'http://nl.dbpedia.org/resource/Station_Breda', u'http://nl.dbpedia.org/resource/Station_Breda', u'http://wikidata.dbpedia.org/resource/Q800561', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://dbpedia.org/resource/Breda_Oost_railway_station', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://nl.dbpedia.org/resource/Station_Breda-Prinsenbeek', u'http://nl.dbpedia.org/resource/Station_Breda-Prinsenbeek', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://dbpedia.org/resource/Breda_Oost_railway_station', u'http://nl.dbpedia.org/resource/Station_Breda_Prinsenbeek', u'http://nl.dbpedia.org/resource/Station_Breda_Prinsenbeek', u'http://wikidata.dbpedia.org/resource/Q3084420', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station']"
Stationslaan,MastbosBredaroute,in text,LOC,9,330,100.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19546772', u'http://wikidata.dbpedia.org/resource/Q19546775', u'http://wikidata.dbpedia.org/resource/Q19546778', u'http://wikidata.dbpedia.org/resource/Q19546781', u'http://wikidata.dbpedia.org/resource/Q19546784', u'http://wikidata.dbpedia.org/resource/Q19546788', u'http://wikidata.dbpedia.org/resource/Q19546790', u'http://wikidata.dbpedia.org/resource/Q19546768', u'http://wikidata.dbpedia.org/resource/Q19546770', u'http://wikidata.dbpedia.org/resource/Q19546773', u'http://wikidata.dbpedia.org/resource/Q19546776', u'http://wikidata.dbpedia.org/resource/Q19546777', u'http://wikidata.dbpedia.org/resource/Q19546782', u'http://wikidata.dbpedia.org/resource/Q19546785', u'http://wikidata.dbpedia.org/resource/Q19546789', u'http://wikidata.dbpedia.org/resource/Q19546771', u'http://wikidata.dbpedia.org/resource/Q19546780', u'http://wikidata.dbpedia.org/resource/Q19546783', u'http://wikidata.dbpedia.org/resource/Q19546774', u'http://wikidata.dbpedia.org/resource/Q19546787']"
